Type;Identification;Field;Locale;Market;Status;Default content;Translated content
PRODUCT;'20340;body_html;fi;;;"Premium-laatuinen, miellyttävän pehmeä puuvilla-polyesterivetoketjuhuppari. Sileän pinnan ansiosta soveltuu hyvin painatukseen.

• 70 % puuvillaa, 30 % polyesteriä
• Paino: 280 g/m², Heather Grey 260 g/m²
• Miellyttävän pehmeä ja sileä materiaali
• Kaksinkertainen huppu, jossa kankaanvärinen nyöri
• Päällystetty metallivetoketju
• Helmassa ja hihansuissa puuvilla-elastaaniribbi
• Harjattu sisäpinta
• Valmistusmaa Egypti
• Tullikoodi 6112099

Koot: S - XXL (Black, Deep Navy ja Heather Grey S - 4XL)";"Premium-laatuinen, miellyttävän pehmeä puuvilla-polyesterivetoketjuhuppari. Sileän pinnan ansiosta soveltuu hyvin painatukseen.

• 70 % puuvillaa, 30 % polyesteriä
• Paino: 280 g/m², Heather Grey 260 g/m²
• Miellyttävän pehmeä ja sileä materiaali
• Kaksinkertainen huppu, jossa kankaanvärinen nyöri
• Päällystetty metallivetoketju
• Helmassa ja hihansuissa puuvilla-elastaaniribbi
• Harjattu sisäpinta
• Valmistusmaa Egypti
• Tullikoodi 6112099

Koot: S - XXL (Black, Deep Navy ja Heather Grey S - 4XL)

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>S</td>
<td>52</td>
<td>67</td>
</tr>
<tr>
<td>M</td>
<td>56</td>
<td>70</td>
</tr>
<tr>
<td>L</td>
<td>60</td>
<td>73</td>
</tr>
<tr>
<td>XL</td>
<td>64</td>
<td>76</td>
</tr>
<tr>
<td>XXL</td>
<td>68</td>
<td>79</td>
</tr>
<tr>
<td>3XL</td>
<td>72</td>
<td>81</td>
</tr>
<tr>
<td>4XL</td>
<td>76</td>
<td>83,5</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>
</div>
</div>"
PRODUCT;'20370;title;fi;;;LASTEN PREMIUM HUPPARI;Lasten Premium Huppari
PRODUCT;'20370;body_html;fi;;;"• Materiaali: 70% puuvillaa, 30% polyesteriä
• Paino: 280g/m²
• Kaksinkertainen huppu
• Edessä kengurutasku
• Turvallisuussyistä ilman kiristinnyöriä EU-säännösten mukaisesti";"• Materiaali: 70% puuvillaa, 30% polyesteriä
• Paino: 280g/m²
• Kaksinkertainen huppu
• Edessä kengurutasku
• Turvallisuussyistä ilman kiristinnyöriä EU-säännösten mukaisesti

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>5-6/116cm</td>
<td>41</td>
<td>50</td>
</tr>
<tr>
<td>7-8/128cm</td>
<td>43,5</td>
<td>55</td>
</tr>
<tr>
<td>9-11/140cm</td>
<td>46</td>
<td>60</td>
</tr>
<tr>
<td>12-13/152cm</td>
<td>51</td>
<td>65</td>
</tr>
<tr>
<td>14-16/164cm</td>
<td>56</td>
<td>71</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 1cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>
</div>
</div>"
PRODUCT;'20450;title;fi;;;LASTEN CLASSIC VETOKETJUHUPPARI;Lasten Classic Vetoketjuhuppari
PRODUCT;'20450;body_html;fi;;;"• Materiaali: 80% Belcoro® -kudottua puuvillaa, 20% polyesteriä
• Paino: 280g/m²
• Belcorolangan ansiosta pehmeä ja tasainen pinta
• Vahvistettu niskasauma
• Päällystetty kapea vetoketju mahdollistaa suuret etupainatukset
• Kaksinkertainen huppu ilman säätönyöriä
• Kaksi etutaskua
• Vyötäröllä ja hihansuissa puuvilla/lycra -ribbineulos";"• Materiaali: 80% Belcoro® -kudottua puuvillaa, 20% polyesteriä
• Paino: 280g/m²
• Belcorolangan ansiosta pehmeä ja tasainen pinta
• Vahvistettu niskasauma
• Päällystetty kapea vetoketju mahdollistaa suuret etupainatukset
• Kaksinkertainen huppu ilman säätönyöriä
• Kaksi etutaskua
• Vyötäröllä ja hihansuissa puuvilla/lycra -ribbineulos

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>5-6/116cm</td>
<td>41</td>
<td>50</td>
</tr>
<tr>
<td>7-8/128cm</td>
<td>43,5</td>
<td>55</td>
</tr>
<tr>
<td>9-11/140cm</td>
<td>46</td>
<td>60</td>
</tr>
<tr>
<td>12-13/152cm</td>
<td>51</td>
<td>65</td>
</tr>
<tr>
<td>14-16/164cm</td>
<td>56</td>
<td>71</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 1cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>
</div>
</div>"
PRODUCT;'20620;title;fi;;;CLASSIC VETOKETJUHUPPARI;Classic Vetoketjuhuppari
PRODUCT;'20620;body_html;fi;;;"Edullinen, vuodesta toiseen supersuosittu, klassinen vetoketjuhuppari.

• 80 % puuvillaa, 20 % polyesteriä
• Paino: 280 g/m²
• Kaksinkertainen huppu, jossa kankaanvärinen nyöri
• Puuvilla/Lycra®-resorit
• Kaksoistikkaukset kaikissa saumoissa
• Harjattu sisäpinta
• Valmistusmaa Marokko
• Tullikoodi 6112099

Koot: S - XXL (Black S - 5XL)";"Edullinen, vuodesta toiseen supersuosittu, klassinen vetoketjuhuppari.

• 80 % puuvillaa, 20 % polyesteriä
• Paino: 280 g/m²
• Kaksinkertainen huppu, jossa kankaanvärinen nyöri
• Puuvilla/Lycra®-resorit
• Kaksoistikkaukset kaikissa saumoissa
• Harjattu sisäpinta
• Valmistusmaa Marokko
• Tullikoodi 6112099

Koot: S - XXL (Black S - 5XL)

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>S</td>
<td>52</td>
<td>67</td>
</tr>
<tr>
<td>M</td>
<td>56</td>
<td>70</td>
</tr>
<tr>
<td>L</td>
<td>60</td>
<td>73</td>
</tr>
<tr>
<td>XL</td>
<td>64</td>
<td>76</td>
</tr>
<tr>
<td>XXL</td>
<td>68</td>
<td>79</td>
</tr>
<tr>
<td>3XL</td>
<td>72</td>
<td>80</td>
</tr>
<tr>
<td>4XL</td>
<td>76</td>
<td>81</td>
</tr>
<tr>
<td>5XL</td>
<td>80</td>
<td>82</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 1 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>
</div>
</div>"
PRODUCT;'21160;title;fi;;;NAISTEN PREMIUM COLLEGE FULL ZIP;Naisten Premium College Full Zip
PRODUCT;'21160;body_html;fi;;;"• Materiaali: 70 % puuvillaa, 30 % polyesteriä
• Paino: 280 g/m², Heather Grey ja White 260 g/m²
• Miellyttävän pehmeä ja sileä materiaali
• Päällystetty vetoketju mahdollistaa isot etupainatukset
• Pystykaulus
• Raglanhihat
• Kaksi sivutaskua
• Puuvilla-elastaani neulos hihansuissa ja helmassa

Koot: XS - XXL";"• Materiaali: 70 % puuvillaa, 30 % polyesteriä
• Paino: 280 g/m², Heather Grey ja White 260 g/m²
• Miellyttävän pehmeä ja sileä materiaali
• Päällystetty vetoketju mahdollistaa isot etupainatukset
• Pystykaulus
• Raglanhihat
• Kaksi sivutaskua
• Puuvilla-elastaani neulos hihansuissa ja helmassa

Koot: XS - XXL

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>XS</td>
<td>46</td>
<td>62</td>
</tr>
<tr>
<td>S</td>
<td>48,5</td>
<td>63,5</td>
</tr>
<tr>
<td>M</td>
<td>51</td>
<td>65</td>
</tr>
<tr>
<td>L</td>
<td>53,5</td>
<td>66,5</td>
</tr>
<tr>
<td>XL</td>
<td>56</td>
<td>68</td>
</tr>
<tr>
<td>XXL</td>
<td>58,5</td>
<td>69,5</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2</td>
<td>2</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 1cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>
</div>
</div>"
PRODUCT;'21180;title;fi;;;NAISTEN PREMIUM VETOKETJUHUPPARI;Naisten Premium Vetoketjuhuppari
PRODUCT;'21180;body_html;fi;;;"Premium-laatuinen, miellyttävän pehmeä puuvilla-polyesterivetoketjuhuppari. Sileän pinnan ansiosta soveltuu hyvin painatukseen.

• 70 % puuvillaa, 30 % polyesteriä
• Paino: 280 g/m²
• Miellyttävän pehmeä ja sileä materiaali
• Kaksinkertainen huppu, jossa kankaanvärinen nyöri
• Päällystetty metallivetoketju
• Helmassa ja hihansuissa puuvilla-elastaaniribbi
• Harjattu sisäpinta
• Valmistusmaa Egypti
• Tullikoodi 6112099

Koot: S - XXL";"Premium-laatuinen, miellyttävän pehmeä puuvilla-polyesterivetoketjuhuppari. Sileän pinnan ansiosta soveltuu hyvin painatukseen.

• 70 % puuvillaa, 30 % polyesteriä
• Paino: 280 g/m²
• Miellyttävän pehmeä ja sileä materiaali
• Kaksinkertainen huppu, jossa kankaanvärinen nyöri
• Päällystetty metallivetoketju
• Helmassa ja hihansuissa puuvilla-elastaaniribbi
• Harjattu sisäpinta
• Valmistusmaa Egypti
• Tullikoodi 6112099

Koot: S - XXL

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>XS</td>
<td>46</td>
<td>62</td>
</tr>
<tr>
<td>S</td>
<td>48,5</td>
<td>63,5</td>
</tr>
<tr>
<td>M</td>
<td>51</td>
<td>65</td>
</tr>
<tr>
<td>L</td>
<td>53,5</td>
<td>66,5</td>
</tr>
<tr>
<td>XL</td>
<td>56</td>
<td>68</td>
</tr>
<tr>
<td>XXL</td>
<td>58,5</td>
<td>69,5</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2</td>
<td>2</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 1 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>
</div>
</div>"
PRODUCT;'22020;title;fi;;;CLASSIC COLLEGE;Classic College
PRODUCT;'22020;body_html;fi;;;"Tuttu Classic-sarjan peruscollege jokapäiväiseen käyttöön.

• 80 % puuvillaa, 20 % polyesteriä
• Paino: 280 g/m², White ja Heather Grey 260 g/m²
• Puuvilla/Lycra®-resori kauluksessa, hihansuissa ja helmassa
• Vahvistetut olka- ja niskasaumat
• Istutetut hihat
• Harjattu sisäpinta
• Valmistusmaa Marokko
• Tullikoodi 6112099

Koot: 
S - 3XL Bottle Green, Red ja Royal Blue
S - 4XL White
S - 5XL Black, Deep Navy, Heather Grey ja Navy";"Tuttu Classic-sarjan peruscollege jokapäiväiseen käyttöön.

• 80 % puuvillaa, 20 % polyesteriä
• Paino: 280 g/m², White ja Heather Grey 260 g/m²
• Puuvilla/Lycra®-resori kauluksessa, hihansuissa ja helmassa
• Vahvistetut olka- ja niskasaumat
• Istutetut hihat
• Harjattu sisäpinta
• Valmistusmaa Marokko
• Tullikoodi 6112099

Koot: 
S - 3XL Bottle Green, Red ja Royal Blue
S - 4XL White
S - 5XL Black, Deep Navy, Heather Grey ja Navy

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>S</td>
<td>51</td>
<td>66</td>
</tr>
<tr>
<td>M</td>
<td>56</td>
<td>68,5</td>
</tr>
<tr>
<td>L</td>
<td>61</td>
<td>72</td>
</tr>
<tr>
<td>XL</td>
<td>63,5</td>
<td>76</td>
</tr>
<tr>
<td>XXL</td>
<td>68,5</td>
<td>78,5</td>
</tr>
<tr>
<td>3XL</td>
<td>73,5</td>
<td>81</td>
</tr>
<tr>
<td>4XL</td>
<td>76</td>
<td>82</td>
</tr>
<tr>
<td>5XL</td>
<td>80</td>
<td>83</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>
</div>
</div>"
PRODUCT;'22080;title;fi;;;CLASSIC HUPPARI;Classic Huppari
PRODUCT;'22080;body_html;fi;;;"Perushuppari, todellinen bestselleri. Hyvä koko- ja värivalikoima.

• 80 % puuvillaa, 20 % polyesteriä
• Paino: 280 g/m², Heather Grey ja White 260 g/m²
• Kaksinkertainen huppu, jossa kankaanvärinen nyöri
• Iso kengurutasku
• Harjattu sisäpinta
• Valmistusmaa Marokko
• Tullikoodi 6112099

Koot:
S - XXL Azure Blue, Light Pink, Orange ja Sunflower
S - 3XL Bottle Green, Burgundy, Red ja Royal Blue
S - 4XL Navy ja White
S - 5XL Black, Deep Navy ja Heather Grey";"Perushuppari, todellinen bestselleri. Hyvä koko- ja värivalikoima.

• 80 % puuvillaa, 20 % polyesteriä
• Paino: 280 g/m², Heather Grey ja White 260 g/m²
• Kaksinkertainen huppu, jossa kankaanvärinen nyöri
• Iso kengurutasku
• Harjattu sisäpinta
• Valmistusmaa Marokko
• Tullikoodi 6112099

Koot:
S - XXL Azure Blue, Light Pink, Orange ja Sunflower
S - 3XL Bottle Green, Burgundy, Red ja Royal Blue
S - 4XL Navy ja White
S - 5XL Black, Deep Navy ja Heather Grey

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>S</td>
<td>51</td>
<td>67</td>
</tr>
<tr>
<td>M</td>
<td>56</td>
<td>69,5</td>
</tr>
<tr>
<td>L</td>
<td>61</td>
<td>73,5</td>
</tr>
<tr>
<td>XL</td>
<td>63,5</td>
<td>77</td>
</tr>
<tr>
<td>XXL</td>
<td>68,5</td>
<td>80</td>
</tr>
<tr>
<td>3XL</td>
<td>73,5</td>
<td>83</td>
</tr>
<tr>
<td>4XL</td>
<td>76</td>
<td>84</td>
</tr>
<tr>
<td>5XL</td>
<td>80</td>
<td>85</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>
</div>
</div>"
PRODUCT;'22280;title;fi;;;PREMIUM COLLEGE FULL ZIP;Premium College Full Zip
PRODUCT;'22280;body_html;fi;;;"• Materiaali: 70 % puuvillaa, 30 % polyesteriä
• Paino: 280 g/m², Heather Grey ja White 260 g/m²
• Miellyttävän pehmeä ja sileä materiaali
• Päällystetty vetoketju mahdollistaa isot etupainatukset
• Pystykaulus
• Raglanhihat
• Kaksi sivutaskua
• Puuvilla-elastaani neulos hihansuissa ja helmassa

Koot: S - XXL";"• Materiaali: 70 % puuvillaa, 30 % polyesteriä
• Paino: 280 g/m², Heather Grey ja White 260 g/m²
• Miellyttävän pehmeä ja sileä materiaali
• Päällystetty vetoketju mahdollistaa isot etupainatukset
• Pystykaulus
• Raglanhihat
• Kaksi sivutaskua
• Puuvilla-elastaani neulos hihansuissa ja helmassa

Koot: S - XXL

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>S</td>
<td>52</td>
<td>66</td>
</tr>
<tr>
<td>M</td>
<td>56</td>
<td>68,5</td>
</tr>
<tr>
<td>L</td>
<td>60</td>
<td>71</td>
</tr>
<tr>
<td>XL</td>
<td>64</td>
<td>73,5</td>
</tr>
<tr>
<td>XXL</td>
<td>68</td>
<td>76</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 2cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>
</div>
</div>"
PRODUCT;'30300;title;fi;;;NAISTEN PREMIUM PIKEE;Naisten Premium Pikee
PRODUCT;'30300;body_html;fi;;;"• 100 % rengaskehrättyä kampapuuvillaa
• Paino: 180 g/m²
• Kaksi kankaanväristä nappia, varanappi mukana
• Ribbineulos kauluksessa ja hihansuissa
• Valmistusmaa Marokko/Bangladesh
• Tullikoodi 61061000

Koot: XS - XXL";"• 100 % rengaskehrättyä kampapuuvillaa
• Paino: 180 g/m²
• Kaksi kankaanväristä nappia, varanappi mukana
• Ribbineulos kauluksessa ja hihansuissa
• Valmistusmaa Marokko/Bangladesh
• Tullikoodi 61061000

Koot: XS - XXL

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>XS</td>
<td>42</td>
<td>61</td>
</tr>
<tr>
<td>S</td>
<td>44,5</td>
<td>62</td>
</tr>
<tr>
<td>M</td>
<td>47</td>
<td>63</td>
</tr>
<tr>
<td>L</td>
<td>49,5</td>
<td>64</td>
</tr>
<tr>
<td>XL</td>
<td>52</td>
<td>65</td>
</tr>
<tr>
<td>XXL</td>
<td>54,5</td>
<td>66</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2</td>
<td>2</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 1 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>
</div>
</div>"
PRODUCT;'32180;title;fi;;;PREMIUM PIKEE;Premium Pikee
PRODUCT;'32180;body_html;fi;;;"• 100 % rengaskehrättyä kampapuuvillaa
• Paino: 180 g/m²
• Ribbineulos kauluksessa ja hihansuissa
• Kolme kankaanväristä nappia, varanappi mukana
• Valmistusmaa Marokko/Bangladesh
• Tullikoodi 61051000

Koot: S - 3XL";"• 100 % rengaskehrättyä kampapuuvillaa
• Paino: 180 g/m²
• Ribbineulos kauluksessa ja hihansuissa
• Kolme kankaanväristä nappia, varanappi mukana
• Valmistusmaa Marokko/Bangladesh
• Tullikoodi 61051000

Koot: S - 3XL

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>S</td>
<td>48</td>
<td>70</td>
</tr>
<tr>
<td>M</td>
<td>52</td>
<td>72</td>
</tr>
<tr>
<td>L</td>
<td>56</td>
<td>74</td>
</tr>
<tr>
<td>XL</td>
<td>60</td>
<td>76</td>
</tr>
<tr>
<td>XXL</td>
<td>64</td>
<td>78</td>
</tr>
<tr>
<td>3XL</td>
<td>68</td>
<td>80</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2</td>
<td>2</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 1 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>
</div>
</div>"
PRODUCT;'34020;title;fi;;;65/35 PIKEE;65/35 Pikee
PRODUCT;'34020;body_html;fi;;;"Vuodesta toiseen suosittu ja edullinen polyesteri-puuvillasekoitepikee.

• 65 % polyesteriä, 35 % puuvillaa
• Paino: 180 g/m²
• Ribbineulos kauluksessa ja hihansuissa
• Nappilistassa kolme kankaan väristä nappia, varanappi mukana
• Vahvistetut niska- ja hartiasaumat
• Pesu 60°C
• Valmistusmaa Marokko
• Tullikoodi 61052010

Koot: S - 3XL (Black ja Navy S - 5XL)";"Vuodesta toiseen suosittu ja edullinen polyesteri-puuvillasekoitepikee.

• 65 % polyesteriä, 35 % puuvillaa
• Paino: 180 g/m²
• Ribbineulos kauluksessa ja hihansuissa
• Nappilistassa kolme kankaan väristä nappia, varanappi mukana
• Vahvistetut niska- ja hartiasaumat
• Pesu 60°C
• Valmistusmaa Marokko
• Tullikoodi 61052010

Koot: S - 3XL (Black ja Navy S - 5XL)

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>S</td>
<td>48</td>
<td>70</td>
</tr>
<tr>
<td>M</td>
<td>52</td>
<td>72</td>
</tr>
<tr>
<td>L</td>
<td>56</td>
<td>74</td>
</tr>
<tr>
<td>XL</td>
<td>60</td>
<td>76</td>
</tr>
<tr>
<td>XXL</td>
<td>64</td>
<td>78</td>
</tr>
<tr>
<td>3XL</td>
<td>68</td>
<td>80</td>
</tr>
<tr>
<td>4XL</td>
<td>72</td>
<td>84</td>
</tr>
<tr>
<td>5XL</td>
<td>76</td>
<td>88</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2</td>
<td>2</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>
</div>
</div>"
PRODUCT;'40260;title;fi;;;CLASSIC COLLEGEHOUSUT;Classic Collegehousut
PRODUCT;'40260;body_html;fi;;;"Kuminauhalahkeet ja joustava vyötärö.

• 80 % puuvillaa, 20 % polyesteriä
• Paino: 280 g/m², Heather Grey 260 g/m²
• Kuminauhat lahkeensuissa
• Sivutaskut
• Joustava vyötärö, jossa kankaanvärinen nyöri
• Lahkeissa ainoastaan sisäsaumat, mikä mahdollistaa suuretkin painatukset
• Valmistusmaa Marokko
• Tullikoodi 61046200

Koot: S - 3XL";"Kuminauhalahkeet ja joustava vyötärö.

• 80 % puuvillaa, 20 % polyesteriä
• Paino: 280 g/m², Heather Grey 260 g/m²
• Kuminauhat lahkeensuissa
• Sivutaskut
• Joustava vyötärö, jossa kankaanvärinen nyöri
• Lahkeissa ainoastaan sisäsaumat, mikä mahdollistaa suuretkin painatukset
• Valmistusmaa Marokko
• Tullikoodi 61046200

Koot: S - 3XL

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys*</td>
<td>Pituus 1**</td>
<td>Pituus 2***</td>
</tr>
<tr>
<td>S</td>
<td>28</td>
<td>79,5</td>
<td>106</td>
</tr>
<tr>
<td>M</td>
<td>32</td>
<td>80,5</td>
<td>108</td>
</tr>
<tr>
<td>L</td>
<td>35,5</td>
<td>81,5</td>
<td>110</td>
</tr>
<tr>
<td>XL</td>
<td>38</td>
<td>82,5</td>
<td>112</td>
</tr>
<tr>
<td>XXL</td>
<td>42</td>
<td>82,5</td>
<td>113</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen vyötärönauhan reunasta reunaan</p>
<p>** Tuotteen haarasaumasta lahkeenkäänteeseen</p>
<p>*** Tuotteen vyötärönauhan yläreunasta lahkeenkäänteeseen</p>
</div>
</div>"
PRODUCT;'40400;title;fi;;;PREMIUM COLLEGEHOUSUT;Premium Collegehousut
PRODUCT;'40400;body_html;fi;;;"Erityisesti nuorison suosimat rennot collegehousut.

• 70 % puuvillaa, 30 % polyesteriä
• Paino: 280 g/m², Heather Grey 260 g/m²
• Sivutaskut
• Joustava vyötärö, jossa kankaanvärinen nyöri
• Kuminauha lahkeensuissa
• Valmistusmaa Egypti
• Tullikoodi 61046200

Koot: S - 3XL";"Erityisesti nuorison suosimat rennot collegehousut.

• 70 % puuvillaa, 30 % polyesteriä
• Paino: 280 g/m², Heather Grey 260 g/m²
• Sivutaskut
• Joustava vyötärö, jossa kankaanvärinen nyöri
• Kuminauha lahkeensuissa
• Valmistusmaa Egypti
• Tullikoodi 61046200

Koot: S - 3XL

<div class="size-table">
